price,number_of_rooms,address,canton,property_type,floor,year_category
"CHF 1,090,000.–",3.5 rooms,1110 Morges,vaud,Apartment,eg,1981-1990
"CHF 990,000.–",4.5 rooms,1066 Epalinges,vaud,Apartment,eg,1981-1990
"CHF 750,000.–",3.5 rooms,"Route des Chenolettes, 1660 Château-d’Œx",vaud,Apartment,eg,1981-1990
"CHF 1,500,000.–",5.5 rooms,"Route des Chenolettes, 1660 Château-d’Œx",vaud,Apartment,eg,1981-1990
"CHF 595,000.–",3.5 rooms,"Chemin de la Bréfelaz 8, 1144 Ballens",vaud,Apartment,eg,1981-1990
"CHF 650,000.–",4.5 rooms,"Yverdon-les-Bains, 1400 Yverdon-les-Bains",vaud,Apartment,eg,1981-1990
"CHF 845,000.–",4.5 rooms,"Montreux, 1820 Montreux",vaud,Apartment,eg,1981-1990
"CHF 1,250,000.–",3.5 rooms,"Nyon, 1260 Nyon",vaud,Apartment,eg,1981-1990
"CHF 535,000.–",2 rooms,1092 Belmont-sur-Lausanne,vaud,Apartment,eg,1981-1990
"CHF 1,260,000.–",4.5 rooms,1026 Echandens,vaud,Apartment,eg,1981-1990
"CHF 1,600,000.–",5.5 rooms,"Lutry, 1095 Lutry",vaud,Apartment,eg,1991-2000
"CHF 1,350,000.–",5.5 rooms,1018 Lausanne,vaud,Apartment,eg,1991-2000
"CHF 970,000.–",4.5 rooms,1058 Villars-Tiercelin,vaud,Apartment,eg,1991-2000
"CHF 465,000.–",2 rooms,1822 Chernex,vaud,Apartment,eg,1991-2000
"CHF 1,400,000.–",4.5 rooms,1162 St-Prex,vaud,Apartment,eg,1991-2000
"CHF 590,000.–",4.5 rooms,1867 Ollon VD,vaud,Apartment,eg,1991-2000
"CHF 990,000.–",4.5 rooms,1162 St Prex,vaud,Apartment,eg,1991-2000
"CHF 1,090,000.–",3.5 rooms,1884 Arveyes,vaud,Apartment,eg,1991-2000
"CHF 900,000.–",3.5 rooms,1071 Chexbres,vaud,Apartment,eg,1991-2000
"CHF 2,180,000.–",5.5 rooms,1095 Lutry,vaud,Apartment,eg,1991-2000
"CHF 530,000.–",4.5 rooms,1439 Rances,vaud,Apartment,eg,1991-2000
"CHF 995,000.–",5.5 rooms,1436 Chamblon,vaud,Apartment,eg,1991-2000
"CHF 627,000.–",2.5 rooms,1196 Gland,vaud,Apartment,eg,1991-2000
"CHF 1,254,000.–",4.5 rooms,1263 Crassier,vaud,Apartment,eg,1991-2000
"CHF 950,000.–",4.5 rooms,"Gollion, 1124 Gollion",vaud,Apartment,eg,1991-2000
"CHF 950,000.–",4.5 rooms,1110 Morges,vaud,Apartment,eg,1991-2000
"CHF 910,000.–",3.5 rooms,1822 Chernex,vaud,Apartment,eg,1991-2000
"CHF 1,030,000.–",4.5 rooms,1037 Etagnières,vaud,Apartment,eg,1991-2000
"CHF 950,000.–",4.5 rooms,1124 Gollion,vaud,Apartment,eg,1991-2000
"CHF 1,200,000.–",4.5 rooms,"Chemin Buvelot 5b, 1110 Morges",vaud,Apartment,eg,2001-2005
"CHF 860,000.–",6.5 rooms,"Montagny-près-Yverdon, 1442 Montagny-près-Yverdon",vaud,Apartment,eg,2001-2005
"CHF 995,000.–",4 rooms,1884 Villars-sur-Ollon,vaud,Apartment,eg,2001-2005
"CHF 1,270,000.–",5.5 rooms,"Vufflens-la-Ville, 1302 Vufflens-la-Ville",vaud,Apartment,eg,2001-2005
"CHF 2,500,000.–",5.5 rooms,1884 Villars-sur-Ollon,vaud,Apartment,eg,2001-2005
"CHF 840,000.–",4.5 rooms,1073 Savigny,vaud,Apartment,eg,2001-2005
"CHF 750,000.–",4.5 rooms,"Chemin de l' Entoz 3, 1042 Bioley-Orjulaz",vaud,Apartment,eg,2001-2005
"CHF 990,000.–",3.5 rooms,"Chemin de Paplan 4, 1268 Begnins",vaud,Apartment,eg,2001-2005
"CHF 890,000.–",4.5 rooms,1040 Echallens,vaud,Apartment,eg,2001-2005
"CHF 1,730,000.–",4 rooms,1299 Crans VD,vaud,Apartment,eg,2001-2005
"CHF 1,345,000.–",3.5 rooms,1822 Chernex,vaud,Apartment,eg,2001-2005
"CHF 1,345,000.–",4.5 rooms,1822 Chernex,vaud,Apartment,eg,2001-2005
"CHF 1,600,000.–",4.5 rooms,1260 Nyon,vaud,Apartment,eg,2001-2005
"CHF 995,000.–",4.5 rooms,1070 Puidoux,vaud,Apartment,eg,2006-2010
"CHF 1,390,000.–",5 rooms,"Yens, 1169 Yens",vaud,Apartment,eg,2006-2010
"CHF 1,850,000.–",4.5 rooms,1009 Pully,vaud,Apartment,eg,2006-2010
"CHF 1,350,000.–",5.5 rooms,1820 Montreux,vaud,Apartment,eg,2006-2010
"CHF 1,145,000.–",3.5 rooms,1805 Jongny,vaud,Apartment,eg,2006-2010
"CHF 1,450,000.–",5.5 rooms,1820 Montreux,vaud,Apartment,eg,2006-2010
"CHF 2,180,000.–",6 rooms,1884 Villars-sur-Ollon,vaud,Apartment,eg,2006-2010
"CHF 1,490,000.–",4.5 rooms,1093 La Conversion,vaud,Apartment,eg,2006-2010
"CHF 1,065,000.–",4.5 rooms,1000 Lausanne,vaud,Apartment,eg,2006-2010
"CHF 1,340,000.–",5.5 rooms,"chemin de Bel-Orne 30B, 1008 Prilly",vaud,Apartment,eg,2006-2010
"CHF 730,000.–",4.5 rooms,1860 Aigle,vaud,Apartment,eg,2006-2010
"CHF 2,990,000.–",4.5 rooms,1272 Genolier,vaud,Apartment,eg,2006-2010
"CHF 790,000.–",4.5 rooms,1148 Mont la Ville,vaud,Apartment,eg,2006-2010
"CHF 2,590,000.–",4.5 rooms,1820 Montreux,vaud,Apartment,eg,2006-2010
"CHF 390,000.–",3.5 rooms,1892 Lavey Village,vaud,Apartment,eg,2006-2010
"CHF 1,450,000.–",6.5 rooms,1820 Montreux,vaud,Apartment,eg,2006-2010
"CHF 2,950,000.–",5 rooms,1095 Lutry,vaud,Apartment,eg,2006-2010
"CHF 2,950,000.–",5 rooms,1093 La Conversion,vaud,Apartment,eg,2006-2010
"CHF 690,000.–",3 rooms,1163 Etoy,vaud,Apartment,eg,2006-2010
"CHF 1,850,000.–",4.5 rooms,1180 Rolle,vaud,Apartment,eg,2006-2010
"CHF 2,458,650.–",3.5 rooms,1173 Féchy,vaud,Apartment,eg,2006-2010
"CHF 1,794,150.–",3.5 rooms,1820 Montreux,vaud,Apartment,eg,2006-2010
"CHF 1,528,350.–",4 rooms,"Genolier, 1272 Genolier",vaud,Apartment,eg,2006-2010
"CHF 1,229,320.–",3 rooms,1814 La Tour-de-Peilz,vaud,Apartment,eg,2006-2010
"CHF 1,229,320.–",3 rooms,1814 La Tour-de-Peilz,vaud,Apartment,eg,2006-2010
"CHF 4,250,000.–",5.5 rooms,1820 Montreux,vaud,Apartment,eg,2011-2015
"CHF 510,000.–",3.5 rooms,"Chemin de Montaillet 2, 1880 Bex",vaud,Apartment,eg,2011-2015
"CHF 640,000.–",3.5 rooms,"Roche VD, 1852 Roche VD",vaud,Apartment,eg,2011-2015
"CHF 838,000.–",4.5 rooms,"Rue de la Forge 6, 1410 St-Cierges",vaud,Apartment,eg,2011-2015
"CHF 1,300,000.–",4.5 rooms,"Epalinges, 1066 Epalinges",vaud,Apartment,eg,2011-2015
"CHF 515,000.–",3.5 rooms,"Rue Bibracte 16 B, 1580 Avenches",vaud,Apartment,eg,2011-2015
"CHF 2,145,000.–",6.5 rooms,1272 Genolier,vaud,Apartment,eg,2011-2015
"CHF 895,000.–",3.5 rooms,1800 Vevey,vaud,Apartment,eg,2011-2015
"CHF 1,360,000.–",4.5 rooms,1010 Lausanne,vaud,Apartment,eg,2011-2015
"CHF 695,000.–",3.5 rooms,1588 Cudrefin,vaud,Apartment,eg,2011-2015
"CHF 597,000.–",3.5 rooms,"Route d'Evian 8, 1845 Noville",vaud,Apartment,eg,2011-2015
"CHF 4,250,000.–",5.5 rooms,"Résidence Altavista, 1820 Montreux",vaud,Apartment,eg,2011-2015
"CHF 716,000.–",2.5 rooms,1033 Cheseaux-sur-Lausanne,vaud,Apartment,eg,2011-2015
"CHF 1,040,000.–",5.5 rooms,1844 Villeneuve VD,vaud,Apartment,eg,2011-2015
"CHF 640,000.–",3.5 rooms,"Ch. du Sansui 6, 1562 Corcelles-près-Payerne",vaud,Apartment,eg,2011-2015
"CHF 795,000.–",3.5 rooms,1124 Gollion,vaud,Apartment,eg,2011-2015
"CHF 4,765,000.–",9.5 rooms,"La Conversion, 1093 La Conversion",vaud,Apartment,eg,2011-2015
"CHF 4,765,000.–",9.5 rooms,"A La Conversion, 1093 La Conversion",vaud,Apartment,eg,2011-2015
"CHF 675,000.–",4.5 rooms,"Rue de la Boverie 21, 1530 Payerne",vaud,Apartment,eg,2011-2015
"CHF 695,000.–",4.5 rooms,1522 Lucens,vaud,Apartment,eg,2011-2015
"CHF 1,895,000.–",5.5 rooms,1095 Lutry,vaud,Apartment,eg,2011-2015
"CHF 650,000.–",3.5 rooms,1424 Champagne,vaud,Apartment,eg,2011-2015
"CHF 665,000.–",3.5 rooms,1509 Vucherens,vaud,Apartment,eg,2011-2015
"CHF 2,750,000.–",5.5 rooms,1814 La Tour-de-Peilz,vaud,Apartment,eg,2011-2015
"CHF 2,690,000.–",6 rooms,1009 Pully,vaud,Apartment,eg,2011-2015
"CHF 1,690,000.–",5.5 rooms,1038 Bercher,vaud,Apartment,eg,2011-2015
"CHF 1,400,000.–",4.5 rooms,"Route de la Feuillère 23, 1010 Lausanne",vaud,Apartment,eg,2011-2015
"CHF 1,050,000.–",4.5 rooms,1304 Cossonay-Ville,vaud,Apartment,eg,2011-2015
"CHF 665,000.–",3.5 rooms,1509 Vucherens,vaud,Apartment,eg,2011-2015
"CHF 560,000.–",3.5 rooms,1522 Lucens,vaud,Apartment,eg,2011-2015
"CHF 445,000.–",3.5 rooms,1862 Les Mosses,vaud,Apartment,eg,2011-2015
"CHF 1,690,000.–",5.5 rooms,1012 Lausanne,vaud,Apartment,eg,2011-2015
"CHF 1,490,000.–",4.5 rooms,1660 Château-d'Oex,vaud,Apartment,eg,2011-2015
"CHF 445,000.–",3.5 rooms,1862 Les Mosses,vaud,Apartment,eg,2011-2015
"CHF 825,000.–",2.5 rooms,1010 Lausanne,vaud,Apartment,eg,2011-2015
"CHF 1,690,000.–",4.5 rooms,1260 Nyon,vaud,Apartment,eg,2011-2015
"CHF 1,490,000.–",4.5 rooms,"Route d'Echandens 8, 1027 Lonay",vaud,Apartment,eg,2016-2024
"CHF 1,250,000.–",4.5 rooms,"Lausanne, 1018 Lausanne",vaud,Apartment,eg,2016-2024
"CHF 900,000.–",4.5 rooms,"Servion, 1077 Servion",vaud,Apartment,eg,2016-2024
"CHF 870,000.–",4 rooms,"Villars-le-Grand, 1584 Villars-le-Grand",vaud,Apartment,eg,2016-2024
"CHF 770,000.–",4.5 rooms,1846 Chessel,vaud,Apartment,eg,2016-2024
"CHF 1,165,000.–",4.5 rooms,1820 Montreux,vaud,Apartment,eg,2016-2024
"CHF 760,000.–",3.5 rooms,1847 Rennaz,vaud,Apartment,eg,2016-2024
"CHF 640,000.–",4.5 rooms,1346 Les Bioux,vaud,Apartment,eg,2016-2024
"CHF 1,040,000.–",4.5 rooms,1845 Noville,vaud,Apartment,eg,2016-2024
"CHF 1,250,000.–",3.5 rooms,1009 Pully,vaud,Apartment,eg,2016-2024
"CHF 1,890,000.–",4.5 rooms,1093 La Conversion,vaud,Apartment,eg,2016-2024
"CHF 670,000.–",4.5 rooms,1854 Leysin,vaud,Apartment,eg,2016-2024
"CHF 520,000.–",3.5 rooms,1562 Corcelles-près-Payerne,vaud,Apartment,eg,2016-2024
"CHF 1,490,000.–",4.5 rooms,1010 Lausanne,vaud,Apartment,eg,2016-2024
"CHF 875,000.–",2.5 rooms,1092 Belmont-sur-Lausanne,vaud,Apartment,eg,2016-2024
"CHF 790,000.–",4.5 rooms,1264 St Cergue,vaud,Apartment,eg,2016-2024
"CHF 875,000.–",3.5 rooms,"Route de la Frasse 29, 1660 Château-d'Oex",vaud,Apartment,eg,2016-2024
"CHF 847,000.–",5.5 rooms,1337 Vallorbe,vaud,Apartment,eg,2016-2024
"CHF 847,000.–",5.5 rooms,1337 Vallorbe,vaud,Apartment,eg,2016-2024
"CHF 745,000.–",4 rooms,1040 Villars-le-Terroir,vaud,Apartment,eg,2016-2024
"CHF 850,000.–",1 room,1009 Pully,vaud,Apartment,eg,2016-2024
"CHF 750,000.–",2.5 rooms,"Crissier, 1023 Crissier",vaud,Apartment,eg,2016-2024
"CHF 750,000.–",2.5 rooms,"A Crissier, 1023 Crissier",vaud,Apartment,eg,2016-2024
"CHF 1,095,000.–",3.5 rooms,"Chemin de Sainte-Croix 12F, 1807 Blonay",vaud,Apartment,eg,2016-2024
"CHF 730,000.–",3.5 rooms,1867 Ollon VD,vaud,Apartment,eg,2016-2024
"CHF 550,000.–",3.5 rooms,1530 Payerne,vaud,Apartment,eg,2016-2024
"CHF 720,000.–",5.5 rooms,1584 Villars le Grand,vaud,Apartment,eg,2016-2024
"CHF 1,270,000.–",4.5 rooms,1804 Corsier-sur-Vevey,vaud,Apartment,eg,2016-2024
"CHF 449,000.–",3.5 rooms,1337 Vallorbe,vaud,Apartment,eg,2016-2024
"CHF 319,000.–",1.5 rooms,1337 Vallorbe,vaud,Apartment,eg,2016-2024
"CHF 449,000.–",3.5 rooms,1337 Vallorbe,vaud,Apartment,eg,2016-2024
"CHF 319,000.–",1.5 rooms,1337 Vallorbe,vaud,Apartment,eg,2016-2024
"CHF 860,000.–",3.5 rooms,1278 La Rippe,vaud,Apartment,eg,2016-2024
"CHF 1,880,000.–",4.5 rooms,1163 Etoy,vaud,Apartment,eg,2016-2024
"CHF 745,000.–",4.5 rooms,1585 Salavaux,vaud,Apartment,eg,2016-2024
"CHF 1,200,000.–",4.5 rooms,1803 Chardonne,vaud,Apartment,eg,2016-2024
"CHF 930,000.–",6.5 rooms,1584 Villars le Grand,vaud,Apartment,eg,2016-2024
"CHF 1,339,000.–",4.5 rooms,1806 St-Légier-La Chiésaz,vaud,Apartment,eg,2016-2024
"CHF 1,230,000.–",4 rooms,1071 Rivaz,vaud,Apartment,eg,2016-2024
"CHF 3,200,000.–",4.5 rooms,1070 Puidoux,vaud,Apartment,eg,2016-2024
"CHF 750,000.–",2.5 rooms,1110 Morges,vaud,Apartment,eg,2016-2024
"CHF 1,095,000.–",3.5 rooms,1800 Vevey,vaud,Apartment,eg,2016-2024
"CHF 860,000.–",4.5 rooms,1522 Lucens,vaud,Apartment,eg,2016-2024
"CHF 595,000.–",3.5 rooms,1437 Suscévaz,vaud,Apartment,eg,2016-2024
"CHF 1,370,000.–",4.5 rooms,1166 Perroy,vaud,Apartment,eg,2016-2024
"CHF 730,000.–",2.5 rooms,1022 Chavannes-près-Renens,vaud,Apartment,eg,2016-2024
"CHF 575,000.–",4.5 rooms,"Mont-la-Ville, 1148 Mont-la-Ville",vaud,Apartment,eg,2016-2024
"CHF 960,000.–",5.5 rooms,1860 Aigle,vaud,Apartment,eg,2016-2024
"CHF 545,000.–",3.5 rooms,1860 Aigle,vaud,Apartment,eg,2016-2024
"CHF 415,000.–",2.5 rooms,1860 Aigle,vaud,Apartment,eg,2016-2024
"CHF 890,000.–",4.5 rooms,1441 Valeyres-sous-Montagny,vaud,Apartment,eg,2016-2024
"CHF 700,000.–",4.5 rooms,"Route du Vieux Séquoia 4, 1847 Rennaz",vaud,Apartment,eg,2016-2024
"CHF 880,000.–",3.5 rooms,1032 Romanel-sur-Lausanne,vaud,Apartment,eg,2016-2024
"CHF 570,000.–",3.5 rooms,1530 Payerne,vaud,Apartment,eg,2016-2024
"CHF 1,045,000.–",3.5 rooms,1800 Vevey,vaud,Apartment,eg,2016-2024
"CHF 1,190,000.–",3.5 rooms,"Pully, 1009 Pully",vaud,Apartment,eg,2016-2024
"CHF 1,290,000.–",3.5 rooms,1094 Paudex,vaud,Apartment,eg,2016-2024
"CHF 545,000.–",3.5 rooms,1852 Roche VD,vaud,Apartment,eg,2016-2024
"CHF 545,000.–",3.5 rooms,1852 Roche VD,vaud,Apartment,eg,2016-2024
"CHF 720,000.–",2.5 rooms,1400 Yverdon-les-Bains,vaud,Apartment,eg,2016-2024
"CHF 1,260,000.–",3.5 rooms,"Chemin Isabelle de Montolieu 25, 1010 Lausanne",vaud,Apartment,eg,2016-2024
"CHF 1,993,500.–",4 rooms,"Avenue Collonges, 1004 Lausanne",vaud,Apartment,noteg,0-1919
"CHF 1,873,890.–",3.5 rooms,"Grand'Rue 44, 1176 St-Livres",vaud,Apartment,noteg,0-1919
"CHF 2,518,450.–",4.5 rooms,"Avenue Louis-Vulliemin 10, 1005 Lausanne",vaud,Apartment,noteg,0-1919
"CHF 2,591,550.–",5.5 rooms,"Vevey, 1800 Vevey",vaud,Apartment,noteg,0-1919
"CHF 1,395,450.–",4.5 rooms,"Chailly-Montreux, 1816 Chailly-Montreux",vaud,Apartment,noteg,0-1919
"CHF 490,400.–",2 rooms,"Les Rasses, 1452 Les Rasses",vaud,Apartment,noteg,0-1919
"CHF 1,927,050.–",5.5 rooms,"Yverdon-les-Bains, 1400 Yverdon-les-Bains",vaud,Apartment,noteg,0-1919
"CHF 923,650.–",4.5 rooms,"Renens VD, 1020 Renens VD",vaud,Apartment,noteg,0-1919
"CHF 2,525,100.–",4.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 2,099,820.–",5.5 rooms,1800 Vevey,vaud,Apartment,noteg,0-1919
"CHF 1,847,310.–",4.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 770,820.–",3.5 rooms,1417 Essertines-sur-Yverdon,vaud,Apartment,noteg,0-1919
"CHF 1,156,230.–",3.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 1,794,150.–",3.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 1,794,150.–",2 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 1,847,310.–",4.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 1,315,710.–",3.5 rooms,1188 Gimel,vaud,Apartment,noteg,0-1919
"CHF 3,256,050.–",5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 2,206,140.–",4.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 2,252,650.–",5.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 480,000.–",4.5 rooms,"Chalet les Bluets, 1863 Le Sépey",vaud,Apartment,noteg,0-1919
"CHF 1,295,000.–",5.5 rooms,1302 Vufflens-la-Ville,vaud,Apartment,noteg,0-1919
"CHF 740,000.–",6 rooms,1522 Lucens,vaud,Apartment,noteg,0-1919
"CHF 960,000.–",3.5 rooms,1170 Aubonne,vaud,Apartment,noteg,0-1919
"CHF 1,990,000.–",6.5 rooms,1800 Vevey,vaud,Apartment,noteg,0-1919
"CHF 1,190,000.–",3.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 420,000.–",5.5 rooms,1880 Bex,vaud,Apartment,noteg,0-1919
"CHF 1,500,000.–",4.5 rooms,1800 Vevey,vaud,Apartment,noteg,0-1919
"CHF 495,000.–",2.5 rooms,1880 Bex,vaud,Apartment,noteg,0-1919
"CHF 2,590,000.–",5.5 rooms,"Pl. de la Cathédrale, 1005 Lausanne",vaud,Apartment,noteg,0-1919
"CHF 698,000.–",3.5 rooms,1008 Prilly,vaud,Apartment,noteg,0-1919
"CHF 1,280,000.–",3.5 rooms,1185 Mont-sur-Rolle,vaud,Apartment,noteg,0-1919
"CHF 325,000.–",2.5 rooms,1515 Villars-le-Comte,vaud,Apartment,noteg,0-1919
"CHF 2,395,000.–",5.5 rooms,1006 Lausanne,vaud,Apartment,noteg,0-1919
"CHF 310,000.–",2 rooms,1515 Villars-le-Comte,vaud,Apartment,noteg,0-1919
"CHF 845,000.–",3.5 rooms,1580 Avenches,vaud,Apartment,noteg,0-1919
"CHF 1,120,000.–",5.5 rooms,1023 Crissier,vaud,Apartment,noteg,0-1919
"CHF 550,000.–",4.5 rooms,1854 Leysin,vaud,Apartment,noteg,0-1919
"CHF 1,250,000.–",3.5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 2,590,000.–",5.5 rooms,1005 Lausanne,vaud,Apartment,noteg,0-1919
"CHF 490,000.–",2 rooms,1884 Villars-sur-Ollon,vaud,Apartment,noteg,0-1919
"CHF 310,000.–",2.5 rooms,"1, 1522 Lucens",vaud,Apartment,noteg,0-1919
"CHF 3,400,000.–",5 rooms,1820 Montreux,vaud,Apartment,noteg,0-1919
"CHF 990,000.–",4.5 rooms,1816 Chailly-Montreux,vaud,Apartment,noteg,0-1919
"CHF 720,000.–",5.5 rooms,"Grand-Rue 24, 1530 Payerne",vaud,Apartment,noteg,0-1919
"CHF 485,000.–",3.5 rooms,"Grand-Rue 24, 1530 Payerne",vaud,Apartment,noteg,0-1919
"CHF 755,000.–",5 rooms,1522 Lucens,vaud,Apartment,noteg,0-1919
